# ----------------------------------------
# 1 Master View
# Audience Overview
# 20170101-20180228
# ----------------------------------------

Day Index,Sessions
9/20/17,"5,307"
9/21/17,"5,255"
9/22/17,"4,061"
9/23/17,"2,403"
9/24/17,"2,782"
9/25/17,"3,539"
9/26/17,"4,162"
9/27/17,"3,750"
9/28/17,"3,753"
9/29/17,"3,292"
9/30/17,"2,816"
10/1/17,"3,182"
10/2/17,"3,845"
10/3/17,"3,946"
10/4/17,"5,618"
10/5/17,"5,114"
10/6/17,"4,370"
10/7/17,"3,719"
10/8/17,"3,568"
10/9/17,"4,353"
10/10/17,"4,352"
10/11/17,"3,707"
10/12/17,"3,376"
10/13/17,"3,002"
10/14/17,"2,567"
10/15/17,"2,302"
10/16/17,"3,357"
10/17/17,"4,575"
10/18/17,"3,821"
10/19/17,"3,512"
10/20/17,"3,290"
10/21/17,"2,429"
10/22/17,"2,941"
10/23/17,"3,834"
10/24/17,"3,683"
10/25/17,"3,651"
10/26/17,"3,902"
10/27/17,"3,426"
10/28/17,"2,484"
10/29/17,"2,433"
10/30/17,"3,505"
10/31/17,"3,089"
11/1/17,"3,296"
11/2/17,"3,253"
11/3/17,"3,223"
11/4/17,"2,448"
11/5/17,"2,824"
11/6/17,"3,837"
11/7/17,"4,168"
11/8/17,"4,460"
11/9/17,"3,930"
11/10/17,"3,401"
11/11/17,"2,598"
11/12/17,"2,936"
11/13/17,"3,736"
11/14/17,"3,854"
11/15/17,"3,805"
11/16/17,"3,740"
11/17/17,"3,444"
11/18/17,"2,290"
11/19/17,"2,457"
11/20/17,"3,654"
11/21/17,"3,222"
11/22/17,"3,436"
11/23/17,"3,349"
11/24/17,"3,291"
11/25/17,"2,494"
11/26/17,"2,803"
11/27/17,"5,058"
11/28/17,"4,230"
11/29/17,"3,708"
11/30/17,"3,437"
12/1/17,"3,244"
12/2/17,"2,423"
12/3/17,"2,644"
12/4/17,"3,746"
12/5/17,"3,793"
12/6/17,"3,934"
12/7/17,"3,923"
12/8/17,"3,166"
12/9/17,"2,395"
12/10/17,"2,712"
12/11/17,"3,713"
12/12/17,"9,666"
12/13/17,"9,516"
12/14/17,"3,934"
12/15/17,"3,851"
12/16/17,"2,817"
12/17/17,"2,792"
12/18/17,"4,204"
12/19/17,"3,816"
12/20/17,"3,553"
12/21/17,"3,292"
12/22/17,"2,754"
12/23/17,"2,133"
12/24/17,"2,067"
12/25/17,"2,228"
12/26/17,"2,604"
12/27/17,"3,017"
12/28/17,"2,510"
12/29/17,"2,097"
12/30/17,"1,925"
12/31/17,"1,625"
1/1/18,"2,004"
1/2/18,"3,207"
1/3/18,"3,024"
1/4/18,"3,039"
1/5/18,"2,787"
1/6/18,"2,037"
1/7/18,"2,207"
1/8/18,"3,039"
1/9/18,"3,434"
1/10/18,"3,358"
1/11/18,"3,134"
1/12/18,"2,948"
1/13/18,"2,248"
1/14/18,"2,343"
1/15/18,"3,232"
1/16/18,"3,460"
1/17/18,"3,312"
1/18/18,"3,015"
1/19/18,"2,939"
1/20/18,"2,132"
1/21/18,"2,171"
1/22/18,"3,189"
1/23/18,"3,062"
1/24/18,"3,149"
1/25/18,"3,717"
1/26/18,"2,828"
1/27/18,"2,191"
1/28/18,"2,316"
1/29/18,"3,251"
1/30/18,"3,287"
1/31/18,"3,148"
2/1/18,"3,215"
2/2/18,"2,813"
2/3/18,"2,142"
2/4/18,"2,256"
2/5/18,"3,227"
2/6/18,"3,137"
2/7/18,"3,185"
2/8/18,"3,112"
2/9/18,"3,099"
2/10/18,"2,539"
2/11/18,"2,800"
2/12/18,"3,731"
2/13/18,"3,564"
2/14/18,"3,370"
2/15/18,"3,211"
2/16/18,"2,838"
2/17/18,"2,431"
2/18/18,"2,705"
2/19/18,"2,979"
2/20/18,"3,704"
2/21/18,"3,565"
2/22/18,"3,760"
2/23/18,"3,185"
2/24/18,"2,326"
2/25/18,"2,563"
2/26/18,"4,181"
2/27/18,"3,662"
2/28/18,"3,303"
,"1,188,566"
