--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1950 a 01/08/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83714;13/02/1961;0000;;17.3;;0;1.1;14.8;100;0.666667;
83714;13/02/1961;1200;21.9;;12.3;;;;;;
83714;14/02/1961;0000;;15.2;;0;0.2;13.48;97.25;2.333333;
83714;14/02/1961;1200;14.4;;11.7;;;;;;
83714;15/02/1961;0000;;19;;1.3;1.2;15.44;93.25;4.333333;
83714;15/02/1961;1200;1.9;;11.7;;;;;;
83714;16/02/1961;0000;;18.3;;0;0.8;14.8;99;3;
83714;16/02/1961;1200;12.7;;13;;;;;;
83714;17/02/1961;0000;;15.4;;0;0;13.74;100;2;
83714;17/02/1961;1200;18.7;;12.9;;;;;;
83714;18/02/1961;0000;;17.6;;0;0.2;15.2;94.5;1.333333;
83714;18/02/1961;1200;5.7;;12.1;;;;;;
83714;19/02/1961;0000;;20.2;;2.5;0.9;16.76;93.25;3;
83714;19/02/1961;1200;0.6;;11.4;;;;;;
83714;20/02/1961;0000;;22.4;;1.6;0.9;16.36;94.75;0;
83714;20/02/1961;1200;8;;13.7;;;;;;
83714;21/02/1961;0000;;21.8;;1.9;0.7;16.84;94.5;2.333333;
83714;21/02/1961;1200;12.2;;14.4;;;;;;
83714;22/02/1961;0000;;23.3;;4;1;18.06;90.5;2.333333;
83714;22/02/1961;1200;1.1;;14.2;;;;;;
83714;23/02/1961;0000;;19.4;;0.1;1;15.68;100;0;
83714;23/02/1961;1200;73.9;;13.4;;;;;;
83714;24/02/1961;0000;;21.2;;2.4;0.3;16.38;95;1.666667;
83714;24/02/1961;1200;13.3;;13.3;;;;;;
83714;25/02/1961;0000;;23.8;;6.3;1.3;18.44;87;1.333333;
83714;25/02/1961;1200;0;;13.8;;;;;;
83714;26/02/1961;0000;;24.8;;5.3;1.8;19.32;90.25;1.333333;
83714;26/02/1961;1200;0;;15.9;;;;;;
83714;27/02/1961;0000;;22.8;;2.3;1.5;17.84;96.5;0.666667;
83714;27/02/1961;1200;3.7;;15.2;;;;;;
83714;28/02/1961;0000;;20.9;;0;0.4;16.74;96.5;1.333333;
83714;28/02/1961;1200;21.6;;15;;;;;;
83714;01/03/1961;0000;;19;;0;;16.16;96;1.333333;
83714;01/03/1961;1200;6.3;;13;;;;;;
83714;02/03/1961;0000;;20.3;;0.9;0.2;15.96;93.5;1.333333;
83714;02/03/1961;1200;5;;12.6;;;;;;
83714;03/03/1961;0000;;24.3;;10.6;1.2;15.74;80.75;2;
83714;03/03/1961;1200;0;;5.7;;;;;;
83714;04/03/1961;0000;;24.4;;10.6;3.7;15.08;78.25;2;
83714;04/03/1961;1200;0;;4.2;;;;;;
83714;05/03/1961;0000;;24.3;;4.3;3.1;17.1;88.75;2;
83714;05/03/1961;1200;0;;7.8;;;;;;
83714;06/03/1961;0000;;21.4;;0;2.4;17.04;94.75;2.333333;
83714;06/03/1961;1200;0.3;;13.8;;;;;;
83714;07/03/1961;0000;;17;;0;0.1;15.56;100;0.333333;
83714;07/03/1961;1200;22.2;;14;;;;;;
83714;08/03/1961;0000;;17.2;;0;0;15.88;100;2.333333;
83714;08/03/1961;1200;26.5;;14;;;;;;
83714;09/03/1961;0000;;23.8;;1.7;0;17.38;92.75;2.333333;
83714;09/03/1961;1200;24.9;;13.8;;;;;;
83714;10/03/1961;0000;;25.8;;7.6;1.1;17.42;84.75;0.666667;
83714;10/03/1961;1200;0.3;;10.4;;;;;;
83714;11/03/1961;0000;;25.5;;6.3;2.2;18.14;87;1.333333;
83714;11/03/1961;1200;0;;10.6;;;;;;
83714;12/03/1961;0000;;24.4;;0.6;1.6;18.14;91.5;1.666667;
83714;12/03/1961;1200;0;;12.4;;;;;;
83714;13/03/1961;0000;;24.4;;6.2;1.6;18.56;85.25;3;
83714;13/03/1961;1200;1.3;;13.8;;;;;;
83714;14/03/1961;0000;;25.5;;4.4;2.2;18.54;89;2.333333;
83714;14/03/1961;1200;0;;14.4;;;;;;
83714;15/03/1961;0000;;24.8;;3.7;1;18;94;3;
83714;15/03/1961;1200;26.8;;11.2;;;;;;
83714;16/03/1961;0000;;23.6;;1.3;1.1;17.5;92;1;
83714;16/03/1961;1200;1;;15;;;;;;
83714;17/03/1961;0000;;23.5;;1.6;1.3;18.88;91.75;3;
83714;17/03/1961;1200;1;;15.5;;;;;;
83714;18/03/1961;0000;;24.2;;7.9;1.3;18.46;89.75;2.333333;
83714;18/03/1961;1200;1.9;;14.5;;;;;;
83714;19/03/1961;0000;;22.5;;2.1;0.4;17.54;95.25;3;
83714;19/03/1961;1200;36.8;;14.5;;;;;;
83714;20/03/1961;0000;;23.9;;3.5;0.5;17.74;93.25;2.333333;
83714;20/03/1961;1200;10.9;;14.4;;;;;;
83714;21/03/1961;0000;;22.3;;1.2;0.2;17.66;94.5;1.666667;
83714;21/03/1961;1200;12.3;;13.7;;;;;;
83714;22/03/1961;0000;;25.8;;5.4;1.1;18.88;86;1;
83714;22/03/1961;1200;0;;11.7;;;;;;
83714;23/03/1961;0000;;23.6;;6.1;2;17.62;85.5;2;
83714;23/03/1961;1200;0;;10.5;;;;;;
83714;24/03/1961;0000;;25.5;;3.9;2.1;17.58;88.5;2.333333;
83714;24/03/1961;1200;0;;10.7;;;;;;
83714;25/03/1961;0000;;24;;4.2;2.3;16.24;87;1.666667;
83714;25/03/1961;1200;0;;8.8;;;;;;
83714;26/03/1961;0000;;24.5;;4.5;2.2;17.46;87.5;1.666667;
83714;26/03/1961;1200;0;;10.8;;;;;;
83714;27/03/1961;0000;;16.4;;0.7;0.9;12.44;98.25;2.333333;
83714;27/03/1961;1200;35.7;;10.6;;;;;;
83714;28/03/1961;0000;;15.4;;3.1;0.7;11.08;90.5;2.333333;
83714;28/03/1961;1200;2.4;;9.2;;;;;;
83714;29/03/1961;0000;;15;;5.4;1;10.92;93.5;3;
83714;29/03/1961;1200;0.8;;8.3;;;;;;
83714;30/03/1961;0000;;16.8;;3.4;1.7;11.78;87.5;2;
83714;30/03/1961;1200;0;;4.1;;;;;;
83714;31/03/1961;0000;;17.6;;7.7;1.5;12.34;84.5;0.666667;
83714;31/03/1961;1200;0;;2.6;;;;;;
