Position;Track Name;Artist;Streams;URL
145;Só Vem! - Ao Vivo;Thiaguinho;70089;https://open.spotify.com/track/4bXwQ9ZcMjoN28b4J9bykr
146;MC Lençol e DJ Travesseiro;Luan Santana;70052;https://open.spotify.com/track/2ozsutWRgcaZKJsQ6DvFFv
147;Psycho (feat. Ty Dolla $ign);Post Malone;69429;https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
148;Amor À Primeira Esquina - Ao Vivo;Zé Neto & Cristiano;69341;https://open.spotify.com/track/6X9uEsfCfmKYlArji6SASW
149;Parece Namoro - Ao Vivo | Acústico;Marília Mendonça;69197;https://open.spotify.com/track/67gLKHTj5FsGwbUCcGQZFm
150;GPS;Maiara & Maraisa;68923;https://open.spotify.com/track/5fzGdLTzJDgOYeniy7U2fk
151;Never Let Me Go;Alok;68523;https://open.spotify.com/track/1yzBGun3xDY7WpHOIP9nNp
152;Quem Manda É a 30;Matuê;67800;https://open.spotify.com/track/18KpzkzNNX4myaqT0ROcVY
153;Cante por Nós;Vintage Culture;67135;https://open.spotify.com/track/7q4aClIlFcgyVQDACJQdmG
154;Ritmo Mexicano;Mc Gw;67025;https://open.spotify.com/track/6ZR7rT7vfwtY0EqyLeyAaO
155;Ontem Era Eu - Ao Vivo;Zé Neto & Cristiano;66646;https://open.spotify.com/track/2PJfsqmg6jMBdMtRWwUZ1B
156;changes;XXXTENTACION;66607;https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
157;Pegada Que Desgrama;Naiara Azevedo;66493;https://open.spotify.com/track/2gl2F5Z6ReNVh0wcyPLCKA
158;Amar Amei;Mc Don Juan;66404;https://open.spotify.com/track/1kNVJQEkobOlyfbctPZ4fs
159;Os Opostos Se Atraem;Mc Don Juan;66151;https://open.spotify.com/track/6bcUvUK88KyXHdqHEwefqc
160;Bebida Na Ferida - Acústico;Zé Neto & Cristiano;65108;https://open.spotify.com/track/2ZuG40RDVJQwEaRWQu7Gh4
161;Azul Piscina;Mc Livinho;65065;https://open.spotify.com/track/7ieFtgZBYSC94nGs5yF0Wk
162;Audio - with Sia, Diplo & Labrinth;Sia;64766;https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
163;Cliente Preferencial (Um Modão Atrás Do Outro) - Ao Vivo;George Henrique & Rodrigo;64336;https://open.spotify.com/track/6ujbQPGL1jQs3fAUtKwX0x
164;Ouvi Dizer;Melim;64211;https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
165;Refém;Dilsinho;64177;https://open.spotify.com/track/4muZ1PUxmss4cVmYnpLrvs
166;Vidinha de Balada - Ao Vivo;Henrique & Juliano;63514;https://open.spotify.com/track/2g2ZjM1GjY9Lf2Ff0L94Ul
167;The Middle;Zedd;61848;https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
168;Como é Que Faz;Rob Nunes;61626;https://open.spotify.com/track/1ZYD1c1vFMdeyRdNBxJiAr
169;Apenas Mais uma de Amor;Lulu Santos;61047;https://open.spotify.com/track/6YNCE5qtrTa7YcnAOAEsDQ
170;Cobertor de Orelha - Ao Vivo;Turma do Pagode;61006;https://open.spotify.com/track/1XCKlzIqaehohdUTihetGN
171;Anos Luz;Matuê;60838;https://open.spotify.com/track/2aRdz1goHRuJ2FkDw3vpVX
172;Quero Que Tu Vá;Ananda;60268;https://open.spotify.com/track/7ppLcVgxpoWAhAa2c0CN3b
173;Terra Sem CEP - Ao Vivo;Jorge & Mateus;59953;https://open.spotify.com/track/2U94QDSo9N4e1iXrjo7KAB
174;Com Amor Não Se Brinca - Ao Vivo;Jonas Esticado;59708;https://open.spotify.com/track/0AyCBE9YKWjatl0ukCAhxN
175;Fazer Falta;Mc Livinho;59532;https://open.spotify.com/track/6pSYjx66rlqRmGGTHhnjCo
176;Big Jet Plane;Alok;58977;https://open.spotify.com/track/3lInRGfft6CCsJJPZX3AXq
177;Moonlight;XXXTENTACION;58957;https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
178;Matéria de amor (Participação especial de Matheus & Kauan);Paula Mattos;58850;https://open.spotify.com/track/1XUAAp2Hs03Yq6E6hWxOh5
179;Lucid Dreams;Juice WRLD;58595;https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
180;Aliança;Tribalistas;58403;https://open.spotify.com/track/5lLKJdDPy7qbsta6d88lKE
181;Esquece o Mundo Lá Fora - Ao Vivo;Zé Neto & Cristiano;58398;https://open.spotify.com/track/2Poy2xcZB1GflKqpxwFMRu
182;Flames;David Guetta;58321;https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
183;Bobinha - Ao Vivo;Jorge & Mateus;58277;https://open.spotify.com/track/7nxAHrhpQ31kZtcbzaNMwl
184;Desculpa Doutor;San Joe;57637;https://open.spotify.com/track/18CO6ODntZqzMxOxigBps4
185;Only You (with Little Mix);Cheat Codes;57359;https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
186;Sortudo;Wesley Safadão;57346;https://open.spotify.com/track/76L8k0PT5lGDkjqs0t7tYV
187;Não encosta;Ludmilla;56875;https://open.spotify.com/track/3TLik0AUo5Ri65DFrEivd4
188;Too Good At Goodbyes;Sam Smith;56768;https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
189;Eastside (with Halsey & Khalid);benny blanco;56746;https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
190;Coração Mal Assombrado - Ao Vivo | Acústico;Marília Mendonça;56692;https://open.spotify.com/track/0CL59AhCHJaR8L3I7sra8g
191;Poesia Acústica #4: Todo Mundo Odeia Acústico;Pineapple StormTv;56442;https://open.spotify.com/track/4nwQ1SG9CsAl4XoKuScF0r
192;Não Deixo Não;Mano Walter;56259;https://open.spotify.com/track/74i0ocFuhVOLp3f5kNKjeT
193;Diz aí - Ao Vivo;Zé Neto & Cristiano;56082;https://open.spotify.com/track/5AfCNlkpIbdnd03xKLJndb
194;Jocelyn Flores;XXXTENTACION;55746;https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
195;Bed (feat. Ariana Grande);Nicki Minaj;55487;https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
196;Jumpsuit;Twenty One Pilots;55384;https://open.spotify.com/track/6cQnrSlTxhHCCiUpKrs7g3
197;Ponto Fraco - Ao Vivo;Thiaguinho;55384;https://open.spotify.com/track/0KkZFQSvZrTL1zU3cX8Z7e
198;Nonstop;Drake;55247;https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
199;Faxina;Fred & Gustavo;55222;https://open.spotify.com/track/5zRAAPn6tn5rn0ssNM7b18
200;Aquela Pessoa - Ao Vivo;Henrique & Juliano;55109;https://open.spotify.com/track/3A1LphuJ5lQD6NjPtxtYFh
